,timestamp,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,0.185286,-0.078054,-0.97958,-0.030639,-0.065673,-0.997371,0.078,-0.073,0.0,0.13,0.72,0.0,0.36,0.0,0.0,0.56,0.94,0.54,0.4,0.36,0.01,0.0,0.28,1.52,1.51
1,0.04,0.218219,-0.071582,-0.973271,0.012834,-0.0751,-0.997093,0.117,-0.074,0.01,0.09,0.86,0.0,0.42,0.0,0.0,0.63,0.99,0.91,0.54,0.49,0.0,0.0,0.27,1.01,1.56
2,0.08,0.213233,-0.080777,-0.973656,0.015047,-0.076557,-0.996952,0.115,-0.08,0.04,0.14,0.93,0.0,0.45,0.0,0.0,0.69,1.02,1.23,0.5,0.56,0.0,0.0,0.22,0.82,1.53
3,0.12,0.212711,-0.082373,-0.973637,0.012576,-0.068712,-0.997557,0.114,-0.076,0.05,0.23,0.92,0.0,0.45,0.0,0.0,0.66,1.0,1.41,0.53,0.62,0.0,0.0,0.2,0.66,1.45
4,0.16,0.214736,-0.08731,-0.972762,0.007479,-0.064706,-0.997876,0.112,-0.077,0.08,0.34,0.95,0.0,0.49,0.0,0.0,0.67,0.93,1.47,0.25,0.73,0.0,0.0,0.2,0.8,1.34
5,0.2,0.21888,-0.090836,-0.971514,0.010807,-0.065077,-0.997822,0.116,-0.079,0.08,0.25,0.98,0.0,0.5,0.0,0.0,0.63,0.92,1.46,0.23,0.69,0.0,0.0,0.17,0.72,1.28
6,0.24,0.205884,-0.085385,-0.974844,0.012966,-0.064078,-0.997861,0.11,-0.076,0.08,0.2,1.0,0.0,0.51,0.0,0.0,0.56,0.97,1.35,0.18,0.7,0.0,0.0,0.19,0.66,1.43
7,0.28,0.191953,-0.083386,-0.977855,0.012273,-0.052015,-0.998571,0.103,-0.068,0.04,0.07,0.97,0.0,0.57,0.0,0.0,0.52,1.04,1.32,0.16,0.67,0.0,0.0,0.14,0.48,1.81
8,0.32,0.211048,-0.088159,-0.973492,0.028228,-0.059067,-0.997855,0.121,-0.075,0.01,0.07,0.97,0.0,0.74,0.0,0.0,0.56,1.04,1.28,0.09,0.87,0.0,0.0,0.13,0.43,2.27
9,0.36,0.133856,-0.053619,-0.989549,0.002249,-0.064662,-0.997905,0.068,-0.059,0.0,0.02,1.07,0.0,0.86,0.0,0.0,0.65,1.08,1.4,0.0,0.98,0.0,0.0,0.04,0.38,2.07
10,0.4,0.131544,-0.107101,-0.985508,-0.005532,-0.126745,-0.99192,0.064,-0.118,0.0,0.0,1.11,0.0,0.87,0.0,0.0,0.79,1.15,1.5,0.04,1.07,0.0,0.0,0.0,0.32,1.34
11,0.44,0.077332,-0.160581,-0.983989,-0.039928,-0.158033,-0.986626,0.019,-0.16,0.0,0.0,1.16,0.0,0.8,0.0,0.0,0.84,1.24,1.54,0.04,1.1,0.0,0.0,0.0,0.28,0.49
12,0.48,0.081388,-0.159092,-0.983903,-0.0609,-0.153309,-0.9863,0.01,-0.157,0.0,0.0,1.18,0.0,0.76,0.0,0.0,0.81,1.28,1.5,0.04,1.08,0.0,0.0,0.0,0.26,0.14
