,timestamp,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,540.07,0.035573,0.3448,-0.938002,-0.177057,0.35699,-0.917174,-0.076,0.362,0.52,0.0,0.0,0.01,2.32,2.39,0.0,1.76,0.61,1.36,0.0,0.63,0.24,0.0,1.96,1.79,0.88
1,540.11,0.028693,0.350455,-0.93614,-0.173187,0.360604,-0.916499,-0.078,0.366,0.76,0.0,0.0,0.01,2.36,2.34,0.0,1.71,0.66,1.51,0.0,0.57,0.25,0.0,2.08,1.69,0.73
2,540.15,0.026864,0.340218,-0.939963,-0.174732,0.355058,-0.918369,-0.079,0.358,0.83,0.0,0.0,0.15,2.42,2.43,0.0,1.78,0.7,1.61,0.0,0.62,0.15,0.0,2.29,1.66,0.56
3,540.19,0.034659,0.334071,-0.94191,-0.173333,0.343685,-0.92295,-0.074,0.349,1.01,0.0,0.0,0.15,2.47,2.5,0.0,1.77,0.68,1.49,0.0,0.47,0.14,0.0,2.16,1.89,0.48
4,540.23,0.039313,0.339365,-0.939833,-0.186224,0.333117,-0.924312,-0.079,0.346,0.91,0.0,0.0,0.21,2.5,2.69,0.0,1.66,0.65,1.27,0.0,0.25,0.05,0.0,2.03,2.22,0.53
5,540.27,0.037314,0.33761,-0.940546,-0.169506,0.33795,-0.925774,-0.071,0.347,1.02,0.0,0.0,0.14,2.49,2.8,0.0,1.45,0.66,1.24,0.0,0.04,0.0,0.0,1.84,2.27,0.57
6,540.31,0.037163,0.33443,-0.941688,-0.163773,0.318599,-0.933634,-0.067,0.335,1.07,0.0,0.0,0.3,2.47,3.04,0.0,1.34,0.71,1.32,0.0,0.1,0.0,0.0,1.76,2.19,0.44
7,540.35,0.045085,0.337333,-0.940305,-0.164676,0.311298,-0.935935,-0.064,0.333,1.04,0.0,0.0,0.4,2.48,3.02,0.0,1.4,0.78,1.5,0.0,0.24,0.0,0.0,1.66,2.04,0.35
8,540.39,0.044879,0.328525,-0.943428,-0.163775,0.308663,-0.936966,-0.063,0.327,1.05,0.0,0.0,0.55,2.47,2.96,0.0,1.51,0.81,1.5,0.0,0.36,0.0,0.0,1.53,2.0,0.17
9,540.43,0.04128,0.328495,-0.943603,-0.175864,0.312983,-0.933335,-0.072,0.329,1.13,0.0,0.0,0.58,2.46,2.85,0.0,1.53,0.78,1.63,0.0,0.39,0.0,0.0,1.62,1.91,0.1
10,540.47,0.034574,0.340932,-0.939452,-0.172167,0.321205,-0.931228,-0.073,0.34,1.16,0.0,0.0,0.58,2.43,2.83,0.0,1.59,0.79,1.71,0.0,0.38,0.0,0.0,1.69,1.84,0.01
11,540.51,0.034356,0.330661,-0.943124,-0.172053,0.320986,-0.931325,-0.073,0.335,1.11,0.0,0.0,0.52,2.43,2.87,0.0,1.57,0.78,1.78,0.0,0.43,0.0,0.0,1.82,1.74,0.0
12,540.55,0.029072,0.330638,-0.94331,-0.177049,0.315711,-0.932191,-0.079,0.332,1.0,0.0,0.0,0.47,2.42,3.03,0.0,1.57,0.85,1.69,0.0,0.53,0.0,0.0,1.79,1.68,0.0
13,540.59,0.014121,0.33391,-0.942499,-0.156947,0.299043,-0.941244,-0.076,0.324,0.99,0.0,0.0,0.44,2.38,3.11,0.0,1.5,0.81,1.6,0.0,0.67,0.0,0.0,1.77,1.66,0.0
14,540.63,0.024493,0.333349,-0.942485,-0.174889,0.311394,-0.934049,-0.08,0.331,1.03,0.0,0.0,0.46,2.37,3.25,0.0,1.49,0.83,1.62,0.0,0.81,0.0,0.0,1.75,1.69,0.0
15,540.67,0.011964,0.321577,-0.946808,-0.168832,0.305616,-0.937067,-0.083,0.321,1.07,0.0,0.0,0.5,2.32,3.23,0.0,1.47,0.78,1.63,0.0,0.92,0.0,0.0,1.73,1.71,0.0
16,540.71,0.007903,0.330746,-0.943687,-0.181562,0.310733,-0.932995,-0.092,0.329,1.11,0.0,0.0,0.53,2.31,3.36,0.0,1.46,0.82,1.7,0.0,0.98,0.0,0.0,1.66,1.68,0.0
17,540.75,0.002752,0.324185,-0.94599,-0.177263,0.316909,-0.931744,-0.093,0.329,1.14,0.0,0.0,0.52,2.3,3.35,0.0,1.45,0.84,1.82,0.0,0.96,0.0,0.0,1.51,1.72,0.0
18,540.79,0.006806,0.328477,-0.944487,-0.169881,0.313159,-0.934383,-0.087,0.329,1.19,0.0,0.0,0.51,2.32,3.37,0.0,1.49,0.9,1.94,0.0,0.83,0.0,0.0,1.55,1.76,0.0
19,540.83,0.005832,0.333,-0.942909,-0.190027,0.323127,-0.927081,-0.098,0.337,1.16,0.0,0.0,0.53,2.35,3.26,0.0,1.48,0.94,2.02,0.0,0.73,0.0,0.0,1.65,1.77,0.0
20,540.87,0.003546,0.335328,-0.942095,-0.189019,0.315786,-0.929812,-0.099,0.335,1.14,0.0,0.0,0.48,2.37,3.37,0.0,1.43,0.94,1.96,0.0,0.68,0.0,0.0,1.78,1.74,0.0
21,540.91,0.004078,0.327427,-0.944868,-0.195228,0.317763,-0.927854,-0.102,0.332,1.09,0.0,0.0,0.43,2.39,3.36,0.0,1.38,0.93,1.95,0.0,0.78,0.0,0.0,1.81,1.74,0.0
22,540.95,0.007005,0.332947,-0.94292,-0.198114,0.326473,-0.924211,-0.102,0.339,1.08,0.0,0.0,0.4,2.36,3.38,0.0,1.35,0.87,1.9,0.0,0.85,0.0,0.0,1.84,1.77,0.0
23,540.99,0.006265,0.324839,-0.945749,-0.203037,0.317213,-0.926365,-0.105,0.33,1.0,0.0,0.0,0.39,2.35,3.32,0.0,1.32,0.84,1.95,0.0,0.9,0.0,0.0,1.9,1.88,0.0
24,541.03,-0.003592,0.333184,-0.942855,-0.211299,0.314862,-0.925318,-0.115,0.334,0.87,0.0,0.0,0.35,2.38,3.26,0.0,1.26,0.79,2.02,0.0,0.78,0.0,0.0,1.88,1.9,0.0
25,541.07,-0.002729,0.333413,-0.942777,-0.212422,0.3134,-0.925558,-0.115,0.333,0.72,0.0,0.0,0.24,2.38,3.12,0.0,1.29,0.81,2.06,0.0,0.74,0.0,0.0,1.91,1.94,0.0
26,541.11,-0.012758,0.323883,-0.946011,-0.226588,0.323433,-0.918722,-0.128,0.334,0.63,0.0,0.0,0.18,2.38,2.98,0.0,1.36,0.82,2.06,0.0,0.74,0.0,0.0,1.95,1.94,0.0
