Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.067524366,-20.308432,27.423615,-0.022971524,-0.036222555,0.019081017,28.408487,13.086978,-0.7423274,-13.746209,0.0,0.0,0.0,0.0,0.0,0.0,440.76413,1027.38,-201.0,1347.5896,1074.2885,-201.0,2405.4778,597.5496,-201.0
0.07322223,-21.403109,28.852442,-0.0321373,-0.037036765,0.032794517,28.53353,14.940137,-1.8821602,-15.553502,0.0,0.0,0.0,0.0,0.0,0.0,464.35965,1103.6378,-201.0,1326.2421,1352.091,-201.0,2371.221,663.8269,-201.0
0.08007786,-21.90606,30.756014,-0.043801498,-0.03490492,0.038727444,29.405813,15.568908,-4.0448136,-13.634917,0.0,0.0,0.0,0.0,0.0,0.0,475.45053,1161.8573,-201.0,1339.0426,1469.8828,-201.0,2371.9285,805.7312,-201.0
0.08018305,-20.329569,30.098854,-0.03445902,-0.036993254,0.02768155,28.149553,15.679469,-5.355335,-14.482259,0.0,0.0,0.0,0.0,0.0,0.0,473.5847,1177.159,-201.0,1327.5349,1490.7504,-201.0,2332.588,858.221,-201.0
0.079285845,-21.40412,30.565023,-0.04315983,-0.037949648,0.02260225,29.082521,16.78116,-1.5965413,-10.603221,0.0,0.0,0.0,0.0,0.0,0.0,513.4891,1283.7621,-201.0,1181.4088,1630.5905,-201.0,2288.7563,880.7465,-201.0
0.07854753,-21.981323,28.79111,-0.04080172,-0.040349375,0.024457641,28.81437,18.139353,2.0385716,-12.488999,0.0,0.0,0.0,0.0,0.0,0.0,531.9398,1315.5243,-201.0,1181.9032,1912.9224,-201.0,2272.0745,804.66626,-201.0
0.07728708,-22.731924,27.759201,-0.04336064,-0.041545942,0.02416207,29.353943,17.897635,3.3184597,-13.903203,0.0,0.0,0.0,0.0,0.0,0.0,532.8039,1300.6422,-201.0,1179.8052,1900.6029,-201.0,2306.7883,687.6983,-201.0
0.07664364,-22.018942,27.273735,-0.048533767,-0.041907758,0.019798895,28.613876,15.552864,1.5803709,-16.458855,0.0,0.0,0.0,0.0,0.0,0.0,481.09946,1132.1134,-201.0,1360.599,1612.4984,-201.0,2372.4963,599.71674,-201.0
0.07511007,-22.421354,29.118576,-0.057193663,-0.044522803,0.018276284,28.916792,16.00752,0.0069061914,-16.308561,0.0,0.0,0.0,0.0,0.0,0.0,469.98752,1126.8019,-201.0,1327.0698,1420.5856,-201.0,2389.1023,581.66437,-201.0
0.07531207,-22.691101,29.380571,-0.058016133,-0.043195248,0.017199071,28.848236,16.534277,0.2181528,-16.604391,0.0,0.0,0.0,0.0,0.0,0.0,468.71875,1145.5654,-201.0,1296.7733,1435.3636,-201.0,2375.9922,577.51294,-201.0
0.07605023,-22.726873,29.269928,-0.045578104,-0.04318407,0.02323535,29.676573,18.218447,0.91982985,-14.512416,0.0,0.0,0.0,0.0,0.0,0.0,461.30746,1183.0443,-201.0,1253.593,1405.901,-201.0,2370.0754,569.92267,-201.0
0.07715201,-23.168022,29.49396,-0.03186964,-0.04197079,0.024149084,29.972666,18.468428,2.9137065,-14.179886,0.0,0.0,0.0,0.0,0.0,0.0,447.58194,1142.1373,-201.0,1260.6302,1300.9272,-201.0,2362.4941,536.30475,-201.0
0.07849667,-23.311829,29.894358,0.0075216466,-0.040129066,0.026383715,30.22738,19.719074,2.8085792,-14.394174,0.0,0.0,0.0,0.0,0.0,0.0,435.7002,1242.4901,-201.0,1200.5265,1300.2627,-201.0,2329.5974,579.3759,-201.0
